REGIONE,PROVINCIA,QUESITO,Campo calcolato 1,SUM of NUM_REFERENDUM,SUM of ELETTORI,SUM of ELETTORI_MASCHI,SUM of ELETTORI_F,SUM of VOTANTI,SUM of VOTANTI_M,SUM of VOTANTI_F,SUM of VOTI_SI,SUM of VOTI_NO,SUM of SCHEDE_BIANCHE
,Lecce Total,,54.08%,1,"649,292.00","309,568.00","339,724.00","351,112.00","170,111.00","181,001.00","319,572.00","15,134.00","7,783.00"
,Taranto,Riduzione preferenze Camera dei Deputati,57.65%,1,"455,751.00","221,115.00","234,636.00","262,721.00","135,273.00","127,448.00","242,703.00","9,836.00","4,117.00"
,Taranto Total,,57.65%,1,"455,751.00","221,115.00","234,636.00","262,721.00","135,273.00","127,448.00","242,703.00","9,836.00","4,117.00"
PUGLIA Total,,,56.80%,5,"3,174,543.00","1,534,734.00","1,639,809.00","1,803,257.00","906,339.00","896,918.00","1,656,990.00","72,540.00","31,146.00"
SARDEGNA,Cagliari,Riduzione preferenze Camera dei Deputati,61.25%,1,"599,296.00","293,445.00","305,851.00","367,072.00","181,542.00","185,530.00","344,657.00","11,615.00","4,102.00"
,Cagliari Total,,61.25%,1,"599,296.00","293,445.00","305,851.00","367,072.00","181,542.00","185,530.00","344,657.00","11,615.00","4,102.00"
,Nuoro,Riduzione preferenze Camera dei Deputati,53.12%,1,"221,044.00","109,236.00","111,808.00","117,424.00","57,284.00","60,140.00","109,664.00","4,033.00","1,415.00"
,Nuoro Total,,53.12%,1,"221,044.00","109,236.00","111,808.00","117,424.00","57,284.00","60,140.00","109,664.00","4,033.00","1,415.00"
,Oristano,Riduzione preferenze Camera dei Deputati,57.07%,1,"126,995.00","62,815.00","64,180.00","72,473.00","35,523.00","36,950.00","66,761.00","2,944.00","1,101.00"
,Oristano Total,,57.07%,1,"126,995.00","62,815.00","64,180.00","72,473.00","35,523.00","36,950.00","66,761.00","2,944.00","1,101.00"
,Sassari,Riduzione preferenze Camera dei Deputati,59.87%,1,"362,658.00","178,141.00","184,517.00","217,139.00","106,889.00","110,250.00","204,783.00","6,517.00","2,305.00"
,Sassari Total,,59.87%,1,"362,658.00","178,141.00","184,517.00","217,139.00","106,889.00","110,250.00","204,783.00","6,517.00","2,305.00"
SARDEGNA Total,,,59.09%,4,"1,309,993.00","643,637.00","666,356.00","774,108.00","381,238.00","392,870.00","725,865.00","25,109.00","8,923.00"
SICILIA,Agrigento,Riduzione preferenze Camera dei Deputati,47.88%,1,"429,921.00","212,011.00","217,910.00","205,861.00","106,397.00","99,464.00","183,287.00","11,649.00","4,248.00"
,Agrigento Total,,47.88%,1,"429,921.00","212,011.00","217,910.00","205,861.00","106,397.00","99,464.00","183,287.00","11,649.00","4,248.00"
,Caltanissetta,Riduzione preferenze Camera dei Deputati,51.38%,1,"256,639.00","125,028.00","131,611.00","131,865.00","66,684.00","65,181.00","116,938.00","7,395.00","2,768.00"
,Caltanissetta Total,,51.38%,1,"256,639.00","125,028.00","131,611.00","131,865.00","66,684.00","65,181.00","116,938.00","7,395.00","2,768.00"
,Catania,Riduzione preferenze Camera dei Deputati,58.98%,1,"841,467.00","406,624.00","434,843.00","496,286.00","249,974.00","246,312.00","447,645.00","23,489.00","7,624.00"
,Catania Total,,58.98%,1,"841,467.00","406,624.00","434,843.00","496,286.00","249,974.00","246,312.00","447,645.00","23,489.00","7,624.00"
,Enna,Riduzione preferenze Camera dei Deputati,57.20%,1,"180,189.00","88,572.00","91,617.00","103,069.00","52,755.00","50,314.00","77,128.00","5,319.00","2,352.00"
,Enna Total,,57.20%,1,"180,189.00","88,572.00","91,617.00","103,069.00","52,755.00","50,314.00","77,128.00","5,319.00","2,352.00"
,Messina,Riduzione preferenze Camera dei Deputati,53.71%,1,"550,533.00","262,392.00","288,141.00","295,677.00","149,610.00","146,067.00","256,695.00","17,236.00","9,651.00"
,Messina Total,,53.71%,1,"550,533.00","262,392.00","288,141.00","295,677.00","149,610.00","146,067.00","256,695.00","17,236.00","9,651.00"
,Palermo,Riduzione preferenze Camera dei Deputati,48.61%,1,"1,006,006.00","484,081.00","521,925.00","489,051.00","253,463.00","235,588.00","421,178.00","36,424.00","11,617.00"
,Palermo Total,,48.61%,1,"1,006,006.00","484,081.00","521,925.00","489,051.00","253,463.00","235,588.00","421,178.00","36,424.00","11,617.00"
,Ragusa,Riduzione preferenze Camera dei Deputati,62.52%,1,"228,324.00","110,228.00","118,096.00","142,745.00","71,122.00","71,623.00","125,045.00","7,876.00","3,608.00"
,Ragusa Total,,62.52%,1,"228,324.00","110,228.00","118,096.00","142,745.00","71,122.00","71,623.00","125,045.00","7,876.00","3,608.00"
,Siracusa,Riduzione preferenze Camera dei Deputati,58.90%,1,"328,015.00","160,883.00","167,132.00","193,201.00","97,879.00","95,322.00","178,355.00","7,593.00","1,897.00"
,Siracusa Total,,58.90%,1,"328,015.00","160,883.00","167,132.00","193,201.00","97,879.00","95,322.00","178,355.00","7,593.00","1,897.00"
,Trapani,Riduzione preferenze Camera dei Deputati,59.71%,1,"354,973.00","170,566.00","184,407.00","211,952.00","108,525.00","103,427.00","188,814.00","10,135.00","4,417.00"
,Trapani Total,,59.71%,1,"354,973.00","170,566.00","184,407.00","211,952.00","108,525.00","103,427.00","188,814.00","10,135.00","4,417.00"
SICILIA Total,,,54.35%,9,"4,176,067.00","2,020,385.00","2,155,682.00","2,269,707.00","1,156,409.00","1,113,298.00","1,995,085.00","127,116.00","48,182.00"
TOSCANA,Arezzo,Riduzione preferenze Camera dei Deputati,62.67%,1,"263,115.00","127,094.00","136,021.00","164,883.00","82,738.00","82,145.00","149,282.00","7,234.00","4,697.00"
,Arezzo Total,,62.67%,1,"263,115.00","127,094.00","136,021.00","164,883.00","82,738.00","82,145.00","149,282.00","7,234.00","4,697.00"
,Firenze,Riduzione preferenze Camera dei Deputati,67.47%,1,"996,323.00","473,699.00","522,624.00","672,230.00","329,070.00","343,160.00","621,904.00","23,402.00","12,156.00"
