REGIONE,PROVINCIA,QUESITO,SUM of ELETTORI_TOT,SUM of ELETTORI_M,SUM of ELETTORI_F,SUM of VOTANTI,SUM of VOTANTI_M,SUM of VOTANTI_F,SUM of VOTI_SI,SUM of VOTI_NO,SUM of SKBIANCHE,AFFLUENZA
TRENTINO A.A.,Bolzano,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"379,724.00","185,206.00","194,518.00","197,666.00","95,505.00","102,161.00","165,699.00","27,930.00","2,146.00",0.5205517692
,Bolzano Total,,"379,724.00","185,206.00","194,518.00","197,666.00","95,505.00","102,161.00","165,699.00","27,930.00","2,146.00",0.5205517692
,Trento,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"400,103.00","192,986.00","207,117.00","166,961.00","81,378.00","85,583.00","114,563.00","48,006.00","2,094.00",0.4172950465
,Trento Total,,"400,103.00","192,986.00","207,117.00","166,961.00","81,378.00","85,583.00","114,563.00","48,006.00","2,094.00",0.4172950465
TRENTINO A.A. Total,,,"779,827.00","378,192.00","401,635.00","364,627.00","176,883.00","187,744.00","280,262.00","75,936.00","4,240.00",0.4675742184
UMBRIA,Perugia,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"522,747.00","251,456.00","271,291.00","198,546.00","101,771.00","96,775.00","126,953.00","66,489.00","2,343.00",0.3798127966
,Perugia Total,,"522,747.00","251,456.00","271,291.00","198,546.00","101,771.00","96,775.00","126,953.00","66,489.00","2,343.00",0.3798127966
,Terni,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"191,750.00","91,489.00","100,261.00","70,248.00","35,946.00","34,302.00","45,293.00","22,817.00",782.00,0.3663520209
,Terni Total,,"191,750.00","91,489.00","100,261.00","70,248.00","35,946.00","34,302.00","45,293.00","22,817.00",782.00,0.3663520209
UMBRIA Total,,,"714,497.00","342,945.00","371,552.00","268,794.00","137,717.00","131,077.00","172,246.00","89,306.00","3,125.00",0.3762003199
VALLE D'AOSTA,Aosta,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"102,731.00","50,224.00","52,507.00","33,563.00","16,923.00","16,640.00","14,824.00","17,168.00",875.00,0.326707615
,Aosta Total,,"102,731.00","50,224.00","52,507.00","33,563.00","16,923.00","16,640.00","14,824.00","17,168.00",875.00,0.326707615
VALLE D'AOSTA Total,,,"102,731.00","50,224.00","52,507.00","33,563.00","16,923.00","16,640.00","14,824.00","17,168.00",875.00,0.326707615
VENETO,Belluno,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"198,975.00","95,114.00","103,861.00","61,874.00","31,045.00","30,829.00","38,211.00","22,335.00",657.00,0.3109636889
,Belluno Total,,"198,975.00","95,114.00","103,861.00","61,874.00","31,045.00","30,829.00","38,211.00","22,335.00",657.00,0.3109636889
,Padova,REFERENDUM COSTITUZIONALE. Modifica al titolo V della parte seconda della Costituzione,"721,617.00","347,312.00","374,305.00","313,832.00","155,538.00","158,294.00","181,128.00","125,107.00","3,307.00",0.4349010625
,Padova Total,,"721,617.00","347,312.00","374,305.00","313,832.00","155,538.00","158,294.00","181,128.00","125,107.00","3,307.00",0.4349010625
